unit,var,0,-10,-20,-31,-50,-100,-250,-500,-1000,-2500,-5000,-10000,-16000
27,z1,0,9.5,18.6,28.3,43.9,78.3,133,160.7,174,180.5,182.1,182.7,182.9
27,z2,0,9,17.4,26,39.3,65.7,100,114.8,121.5,124.8,125.6,125.9,126
28,k,2.3,0.44,0.28,0.19,1.10E-01,4.15E-02,8.05E-03,1.92E-03,4.22E-04,5.35E-05,1.10E-05,2.25E-06,7.66E-07
28,wc,0.472,0.467,0.461,0.454,0.441,0.413,0.359,0.313,0.269,0.219,0.186,0.159,0.14267
28,z1,0,8.7,16.4,24,35.1,55,77.8,87.3,91.8,94.1,94.7,95,95.1
28,z2,0,7.7,14,19.8,27.7,40.1,52.7,57.5,59.8,61,61.3,61.4,61.4
29,k,2.12,0.11,0.06,0.03,1.69E-02,5.16E-03,7.65E-04,1.53E-04,2.81E-05,2.84E-06,4.92E-07,8.46E-08,2.56E-08
29,wc,0.444,0.438,0.433,0.427,0.418,0.4,0.369,0.342,0.316,0.282,0.259,0.237,0.22364
29,z1,0,6.5,10.8,14.1,17.7,22,25,25.8,26.2,26.3,26.3,26.3,26.3
29,z2,0,4.9,7.6,9.5,11.6,13.8,15.3,15.8,15.9,16,16,16,16
30,k,1.08,0.12,0.07,0.05,3.18E-02,1.40E-02,3.75E-03,1.21E-03,3.67E-04,7.22E-05,2.07E-05,5.92E-06,2.53E-06
30,wc,0.561,0.556,0.551,0.546,0.537,0.516,0.474,0.436,0.396,0.346,0.312,0.281,0.26169
30,z1,0,6.4,11.2,15.3,20.7,29.3,39.3,44.5,47.8,50.2,51.2,51.7,52
30,z2,0,4.8,7.9,10.4,13.6,18.3,23.5,26.1,27.8,29,29.5,29.8,29.9
31,k,9.69,0.13,0.07,0.04,2.14E-02,7.95E-03,1.92E-03,6.25E-04,2.00E-04,4.36E-05,1.37E-05,4.31E-06,1.96E-06
